titulo,empresa,categoria,tipo,salario,localizacao,link
Tax Manager,The Redesign Group,Finance,full-time,"usd 120,000 - 150,000 per year",USA,https://ats.rippling.com/redesigncareers/jobs/848bff4a-3ccb-4af9-99d6-b6ebd48ac157
Project Manager,Clubessential Holdings,Project Management,full-time,unspecified,USA,https://ats.rippling.com/clubessential-holdings-cjb/jobs/422e55cf-5b68-4da9-b65d-d1400672db66
Financial Reporting Analyst,Tidal Financial Group,Finance,full-time,"usd 70,000 - 90,000 per year",USA,https://ats.rippling.com/open-roles/jobs/66e01c90-4edf-48dd-8291-0c745ff589fd
Customer Service Representative,Pet Supplies Plus,Customer Service,full-time,usd 17 - 18 per hour,USA,https://careers-petsuppliesplus.icims.com/jobs/16710/customer-service-representative---remote-eligible/job
Ruby On Rails Backend Engineer,Axented,Software Development,full-time,"55,000 - 70,000 mxn per month",Mexico,https://jobs.gohire.io/axented-su9lyitg/ruby-on-rails-backend-engineer-267779?utm_source=remotive.com&ref=remotive.com
Customer Service Specialist,Alphanumeric Systems,Customer Service,full-time,19.06 ca$ per hour,Canada,https://alphanumeric-systems.breezy.hr/p/c6647e44db3b01-customer-service-call-center-specialist-pharmaceuticals-service-center-remote-based-in-canada?source=remotive
"Motor Engineer, AI Integration",Activate Group Limited,Artificial Intelligence ,temporary,unspecified,UK,https://activate-group-limited.breezy.hr/p/c72cbb5c285401-motor-engineer-ai-integration-automotive-fixed-term?source=remotive
Customer Success Manager II,AbsenceSoft,Customer Service,full-time,"usd 75,877 - 94,846 per year",USA,https://ats.rippling.com/absencesoft/jobs/70deb81c-014d-4cab-aceb-87b918761448
AI Data Trainer,Gramian Consulting Group,Artificial Intelligence ,contract,unspecified,India,https://jobs.workable.com/view/jGFf6BF6ZN4hhLnKAYRugy/remote-ai-data-trainer-(health-%26-wellness-personalization---gemini)-in-india-at-gramian-consulting-group
Junior/Mid Full Stack Engineer,CORPOSOSTENIBILE,Software Development,full-time,unspecified,Europe,https://corposostenibile.factorial.it/apply/junior-mid-full-stack-engineer-react-python-in-partita-iva-full-remote-297583?utm_source=remotive.io
Trainer for IT Specialists,GFN GmbH,Teaching,full-time,unspecified,Germany,https://join.com/companies/gfn/16078623-trainer-dozenten-m-w-x-fuer-fachinformatiker-m-w-x?pid=aae2f260d3eca542896a
Online Data Analyst United States,TELUS Digital,Data and Analytics,part-time,unspecified,USA,https://remotive.com/remote-jobs/all-others/online-data-analyst-united-states-2088710
Online Data Analyst (United States/Spanish speakers),TELUS Digital,Data and Analytics,part-time,unspecified,USA,https://remotive.com/remote-jobs/all-others/online-data-analyst-united-states-spanish-speakers-2088704
Junior Continuous Improvement Analyst,iFood,Data and Analytics,full-time,unspecified,Germany,https://job-boards.greenhouse.io/ifoodcarreiras/jobs/8497504002
